hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0	prior_prob	1	0.84796	0.59518	prior	0
rephetio-v2.0_perm-1	prior_prob	1	0.83079	0.6025	prior	1
rephetio-v2.0_perm-2	prior_prob	1	0.83829	0.62959	prior	1
rephetio-v2.0_perm-3	prior_prob	1	0.83507	0.61934	prior	1
rephetio-v2.0_perm-4	prior_prob	1	0.82736	0.59625	prior	1
rephetio-v2.0_perm-5	prior_prob	1	0.83666	0.61983	prior	1
rephetio-v2.0	CbG	0.98808	0.54778	0.23196	degree	0
rephetio-v2.0_perm-1	CbG	0.98755	0.54895	0.23239	degree	1
rephetio-v2.0_perm-2	CbG	0.98517	0.5559	0.23575	degree	1
rephetio-v2.0_perm-3	CbG	0.98861	0.54554	0.23201	degree	1
rephetio-v2.0_perm-4	CbG	0.98702	0.54569	0.2273	degree	1
rephetio-v2.0_perm-5	CbG	0.9857	0.54911	0.22877	degree	1
rephetio-v2.0	CcSE	0.9547	0.56452	0.23413	degree	0
rephetio-v2.0_perm-1	CcSE	0.95179	0.57031	0.23668	degree	1
rephetio-v2.0_perm-2	CcSE	0.94967	0.56722	0.23863	degree	1
rephetio-v2.0_perm-3	CcSE	0.95232	0.56566	0.23538	degree	1
rephetio-v2.0_perm-4	CcSE	0.95576	0.56603	0.23831	degree	1
rephetio-v2.0_perm-5	CcSE	0.95338	0.57249	0.23911	degree	1
rephetio-v2.0	CdG	0.67179	0.58547	0.3099	degree	0
rephetio-v2.0_perm-1	CdG	0.67258	0.58955	0.31471	degree	1
rephetio-v2.0_perm-2	CdG	0.6755	0.58276	0.30472	degree	1
rephetio-v2.0_perm-3	CdG	0.66834	0.58721	0.30759	degree	1
rephetio-v2.0_perm-4	CdG	0.67762	0.57953	0.30183	degree	1
rephetio-v2.0_perm-5	CdG	0.67338	0.59123	0.3152	degree	1
rephetio-v2.0	CiPC	0.69033	0.52708	0.19867	degree	0
rephetio-v2.0_perm-1	CiPC	0.69086	0.52716	0.19867	degree	1
rephetio-v2.0_perm-2	CiPC	0.68	0.54037	0.20767	degree	1
rephetio-v2.0_perm-3	CiPC	0.69377	0.52671	0.19931	degree	1
rephetio-v2.0_perm-4	CiPC	0.68689	0.53409	0.20371	degree	1
rephetio-v2.0_perm-5	CiPC	0.67735	0.54063	0.20752	degree	1
rephetio-v2.0	CpD	0.15179	0.52917	0.24189	degree	0
rephetio-v2.0_perm-1	CpD	0.15815	0.52499	0.23538	degree	1
rephetio-v2.0_perm-2	CpD	0.15126	0.52888	0.23835	degree	1
rephetio-v2.0_perm-3	CpD	0.14914	0.53035	0.24052	degree	1
rephetio-v2.0_perm-4	CpD	0.14887	0.53021	0.23933	degree	1
rephetio-v2.0_perm-5	CpD	0.14993	0.52982	0.24107	degree	1
rephetio-v2.0	CrC	0.81722	0.51543	0.24151	degree	0
rephetio-v2.0_perm-1	CrC	0.82172	0.51121	0.23949	degree	1
rephetio-v2.0_perm-2	CrC	0.82146	0.50978	0.23705	degree	1
rephetio-v2.0_perm-3	CrC	0.82172	0.51349	0.25501	degree	1
rephetio-v2.0_perm-4	CrC	0.81642	0.5159	0.24299	degree	1
rephetio-v2.0_perm-5	CrC	0.81351	0.51391	0.2396	degree	1
rephetio-v2.0	CtD	1	0.71154	0.46749	degree	0
rephetio-v2.0_perm-1	CtD	1	0.70862	0.47009	degree	1
rephetio-v2.0_perm-2	CtD	1	0.70987	0.47787	degree	1
rephetio-v2.0_perm-3	CtD	1	0.7131	0.48029	degree	1
rephetio-v2.0_perm-4	CtD	1	0.69995	0.45022	degree	1
rephetio-v2.0_perm-5	CtD	1	0.70549	0.45614	degree	1
rephetio-v2.0	CuG	0.66649	0.59479	0.30812	degree	0
rephetio-v2.0_perm-1	CuG	0.6694	0.59755	0.31251	degree	1
rephetio-v2.0_perm-2	CuG	0.67232	0.58958	0.3024	degree	1
rephetio-v2.0_perm-3	CuG	0.66834	0.59211	0.30413	degree	1
rephetio-v2.0_perm-4	CuG	0.67894	0.58436	0.29889	degree	1
rephetio-v2.0_perm-5	CuG	0.66199	0.60055	0.31257	degree	1
rephetio-v2.0	DaG	1	0.67621	0.38549	degree	0
rephetio-v2.0_perm-1	DaG	1	0.67693	0.38221	degree	1
