feature_type	feature	nonzero	auroc	auroc_permuted	delta_auroc	pval_auroc	fdr_pval_auroc
degree	CbG	0.98808	0.54778	0.54904	-0.0012571	0.54022	0.64657
DWPC	CbG<rG<rGaD	0.84185	0.64161	0.5749	0.066707	6.3953e-05	0.001563
DWPC	CbG<rG<rGdD	0.37907	0.58289	0.55856	0.024336	0.00025452	0.0030794
DWPC	CbG<rG<rGuD	0.3849	0.58248	0.56778	0.014707	0.015628	0.045216
DWPC	CbG<rGaD	0.45483	0.6133	0.57658	0.036724	0.00039022	0.0040757
DWPC	CbG<rGaDrD	0.62861	0.55584	0.5186	0.03724	0.012612	0.039173
DWPC	CbG<rGbCpD	0.14066	0.55832	0.53833	0.019989	0.0073317	0.026986
DWPC	CbG<rGbCtD	0.3751	0.60629	0.58137	0.024928	0.0070578	0.026135
DWPC	CbG<rGcGaD	0.56689	0.61689	0.57473	0.042159	0.00062575	0.0056226
DWPC	CbG<rGcGdD	0.27444	0.56752	0.5402	0.027318	0.00072039	0.0060712
DWPC	CbG<rGcGuD	0.26702	0.56759	0.55009	0.017499	0.0067381	0.025103
DWPC	CbG<rGdAlD	0.72106	0.58279	0.5311	0.051698	0.0049295	0.019881
DWPC	CbG<rGdCpD	0.18384	0.56169	0.54038	0.021312	0.011568	0.037201
DWPC	CbG<rGdCtD	0.60397	0.62296	0.59708	0.025877	0.0035921	0.016116
DWPC	CbG<rGdD	0.20265	0.55945	0.53014	0.02931	0.0021747	0.01166
DWPC	CbG<rGdDrD	0.42887	0.54465	0.50807	0.036579	0.029372	0.068892
DWPC	CbG<rGeAlD	0.87523	0.59579	0.53764	0.058151	4.1366e-05	0.0012961
DWPC	CbG<rGiGaD	0.81139	0.63443	0.57416	0.060267	2.0484e-05	0.00078224
DWPC	CbG<rGiGdD	0.36636	0.57264	0.55698	0.01566	0.0016849	0.0099406
DWPC	CbG<rGiGuD	0.36662	0.58685	0.5642	0.022652	4.8278e-05	0.0013838
