hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0	prior_prob	1	0.84816	0.60964	prior	0
rephetio-v2.0_perm-1	prior_prob	1	0.80316	0.38741	prior	1
rephetio-v2.0_perm-2	prior_prob	1	0.80111	0.38121	prior	1
rephetio-v2.0_perm-3	prior_prob	1	0.80747	0.38508	prior	1
rephetio-v2.0_perm-4	prior_prob	1	0.80237	0.37718	prior	1
rephetio-v2.0_perm-5	prior_prob	1	0.80606	0.37597	prior	1
rephetio-v2.0	CbG	0.98596	0.5499	0.23068	degree	0
rephetio-v2.0_perm-1	CbG	0.9863	0.54506	0.12482	degree	1
rephetio-v2.0_perm-2	CbG	0.98801	0.54219	0.12412	degree	1
rephetio-v2.0_perm-3	CbG	0.98523	0.54386	0.12347	degree	1
rephetio-v2.0_perm-4	CbG	0.98718	0.54534	0.12476	degree	1
rephetio-v2.0_perm-5	CbG	0.98716	0.5433	0.12509	degree	1
rephetio-v2.0	CcSE	0.95311	0.57374	0.23945	degree	0
rephetio-v2.0_perm-1	CcSE	0.95203	0.56533	0.12947	degree	1
rephetio-v2.0_perm-2	CcSE	0.95346	0.56589	0.13107	degree	1
rephetio-v2.0_perm-3	CcSE	0.95613	0.56473	0.12785	degree	1
rephetio-v2.0_perm-4	CcSE	0.95557	0.56472	0.12875	degree	1
rephetio-v2.0_perm-5	CcSE	0.95023	0.56301	0.12836	degree	1
rephetio-v2.0	CdG	0.67205	0.58613	0.30637	degree	0
rephetio-v2.0_perm-1	CdG	0.66709	0.58148	0.19488	degree	1
rephetio-v2.0_perm-2	CdG	0.67247	0.57983	0.19454	degree	1
rephetio-v2.0_perm-3	CdG	0.66818	0.57963	0.19356	degree	1
rephetio-v2.0_perm-4	CdG	0.67122	0.57813	0.19436	degree	1
rephetio-v2.0_perm-5	CdG	0.67071	0.57768	0.19329	degree	1
rephetio-v2.0	CiPC	0.6898	0.53255	0.20471	degree	0
rephetio-v2.0_perm-1	CiPC	0.68665	0.52902	0.10963	degree	1
rephetio-v2.0_perm-2	CiPC	0.69032	0.5268	0.10904	degree	1
rephetio-v2.0_perm-3	CiPC	0.68423	0.53317	0.11102	degree	1
rephetio-v2.0_perm-4	CiPC	0.68902	0.52758	0.10875	degree	1
rephetio-v2.0_perm-5	CiPC	0.69495	0.52389	0.10774	degree	1
rephetio-v2.0	CpD	0.15258	0.52824	0.23692	degree	0
rephetio-v2.0_perm-1	CpD	0.15146	0.52607	0.12933	degree	1
rephetio-v2.0_perm-2	CpD	0.14706	0.52836	0.13123	degree	1
rephetio-v2.0_perm-3	CpD	0.15363	0.52479	0.12764	degree	1
rephetio-v2.0_perm-4	CpD	0.15378	0.5248	0.12808	degree	1
rephetio-v2.0_perm-5	CpD	0.15302	0.52528	0.1285	degree	1
rephetio-v2.0	CrC	0.8143	0.51387	0.24341	degree	0
rephetio-v2.0_perm-1	CrC	0.81456	0.51587	0.13477	degree	1
rephetio-v2.0_perm-2	CrC	0.81296	0.51433	0.13286	degree	1
rephetio-v2.0_perm-3	CrC	0.8157	0.51589	0.13182	degree	1
rephetio-v2.0_perm-4	CrC	0.81361	0.51334	0.13212	degree	1
