feature	feature_type	nonzero	auroc	auroc_permuted	delta_auroc	pval_auroc	fdr_pval_auroc
prior_prob	prior	1	0.84816	0.80403	0.04413	3.084e-06	0.0001397
CbG	degree	0.98596	0.5499	0.54395	0.0059495	0.00050392	0.0028141
CcSE	degree	0.95311	0.57374	0.56474	0.0090029	4.8838e-05	0.00073739
CdG	degree	0.67205	0.58613	0.57935	0.006775	0.000558	0.0029671
CiPC	degree	0.6898	0.53255	0.52809	0.0044615	0.042521	0.06633
CpD	degree	0.15258	0.52824	0.52586	0.0023825	0.0233	0.041359
CrC	degree	0.8143	0.51387	0.51424	-0.00037319	0.65715	0.71238
CtD	degree	1	0.70807	0.69249	0.015586	6.7705e-06	0.00025092
CuG	degree	0.66517	0.59443	0.58644	0.0079856	0.00031618	0.0021494
DaG	degree	1	0.67242	0.65864	0.013784	2.7191e-05	0.0005196
DdG	degree	0.48397	0.56	0.55706	0.0029441	0.012312	0.024807
DlA	degree	0.98649	0.56178	0.55752	0.0042646	0.045533	0.069871
DpC	degree	0.50146	0.59864	0.59102	0.0076191	0.0015515	0.0054369
DpS	degree	0.98649	0.54371	0.54281	0.00089757	0.32611	0.38647
DrD	degree	0.96424	0.46842	0.47079	-0.0023741	0.095159	0.13032
DtC	degree	1	0.75764	0.73692	0.020716	3.6682e-07	4.0784e-05
DuG	degree	0.49272	0.57886	0.57389	0.0049663	0.00091397	0.0040353
CbG<rG<rGaD	dwpc	0.84662	0.63605	0.56577	0.070275	2.0386e-05	0.00044521
CbG<rG<rGdD	dwpc	0.38146	0.58014	0.54954	0.0306	0.00010263	0.0011411
CbG<rG<rGuD	dwpc	0.38384	0.58155	0.55863	0.02292	0.0044294	0.011193
CbG<rGaD	dwpc	0.47205	0.60329	0.56593	0.037355	0.00062999	0.0031577
CbG<rGaDrD	dwpc	0.63073	0.54814	0.51175	0.036387	0.010564	0.021935
CbG<rGbCpD	dwpc	0.13351	0.56346	0.53233	0.031127	0.00087125	0.003887
CbG<rGbCtD	dwpc	0.38199	0.60579	0.57259	0.0332	0.003098	0.0086292
CbG<rGcGaD	dwpc	0.56742	0.6131	0.56584	0.047255	0.00017342	0.0014936
CbG<rGcGdD	dwpc	0.28185	0.56199	0.53428	0.027712	0.00052455	0.0028839
