compound_id	CbG	CcSE	CdG	CiPC	CpD	CrC	CtD	CuG
DB00014	2	249	0	1	0	7	2	1
DB00035	5	142	0	3	0	11	0	0
DB00050	2	38	0	2	0	5	0	0
DB00091	30	344	250	2	0	0	4	233
DB00093	1	0	0	0	0	9	0	0
DB00104	6	295	0	1	3	7	1	0
DB00115	13	0	0	1	0	1	0	0
DB00116	12	0	0	0	0	6	0	0
DB00117	5	0	0	0	0	7	0	0
DB00118	9	0	0	0	0	12	0	0
DB00119	16	0	0	0	0	3	0	0
DB00120	8	0	0	0	0	38	0	0
DB00121	11	0	6	0	0	1	0	8
DB00122	31	1	0	0	1	2	0	0
DB00123	7	0	0	0	0	12	0	0
DB00125	12	36	0	0	0	8	0	0
DB00126	23	0	0	0	0	0	1	0
DB00127	14	0	0	0	0	1	0	0
DB00128	21	0	0	0	0	14	0	0
DB00129	14	0	0	0	0	12	0	0
DB00130	26	72	8	0	0	15	0	12
DB00131	18	0	6	0	0	14	0	3
DB00132	7	14	14	0	0	5	0	21
DB00133	9	0	0	0	0	17	0	0
DB00134	16	0	0	0	0	11	0	0
DB00135	6	0	0	0	0	13	0	0
DB00136	4	106	19	1	1	7	2	38
DB00137	1	0	0	0	0	0	0	0
DB00138	5	0	0	0	0	4	0	0
DB00139	27	0	0	0	0	4	0	0
DB00140	5	0	2	0	0	1	0	5
DB00141	8	0	0	0	0	1	0	0
DB00143	43	0	0	0	0	4	0	0
DB00144	10	0	0	0	0	0	0	0
DB00145	31	43	0	0	0	5	0	0
DB00146	3	0	5	0	0	7	0	1
DB00147	1	0	0	0	0	1	0	0
DB00148	8	0	0	0	0	0	0	0
DB00149	8	0	0	0	0	14	0	0
DB00150	9	0	0	0	0	5	0	1
DB00151	15	0	0	0	0	18	0	0
DB00152	6	21	0	0	0	0	0	0
DB00153	7	30	0	1	0	7	2	0
DB00154	3	0	20	0	0	6	0	15
DB00155	12	0	0	0	0	12	0	0
DB00156	4	0	0	0	0	7	0	0
DB00158	12	31	0	0	0	6	0	0
DB00159	11	17	5	0	0	3	0	7
DB00160	14	0	0	1	0	13	0	0
DB00161	4	0	0	0	0	8	0	0
DB00162	22	2	38	1	0	4	0	42
DB00163	19	0	6	0	0	1	0	1
DB00165	2	5	0	0	0	1	0	1
DB00166	5	0	0	0	0	2	0	0
DB00167	6	0	0	0	0	7	0	0
DB00168	5	0	0	0	0	16	0	0
DB00169	14	0	0	1	1	7	3	0
DB00170	21	0	250	0	0	4	0	250
DB00171	36	0	0	0	0	10	0	0
DB00172	22	0	0	0	0	1	0	0
DB00173	7	0	0	0	0	3	0	0
DB00174	7	0	0	0	0	12	0	0
DB00175	19	184	1	0	0	2	2	4
DB00176	15	458	5	0	2	1	0	1
DB00177	5	110	3	1	0	6	3	4
DB00178	4	206	0	0	0	13	4	0
DB00179	5	0	0	0	0	7	0	0
DB00180	3	133	31	0	0	31	2	35
DB00181	3	235	0	2	1	3	0	0
DB00182	12	77	0	1	2	27	0	0
DB00183	2	0	0	0	0	5	0	0
DB00184	32	185	7	1	1	0	1	2
DB00185	5	444	0	1	0	0	0	0
DB00186	5	131	1	1	1	28	0	0
DB00187	2	118	13	0	0	16	1	5
DB00188	17	618	250	1	0	3	1	250
DB00189	3	0	0	0	0	0	0	0
DB00190	1	162	16	1	2	10	0	6
DB00191	8	48	1	2	0	21	1	2
DB00192	1	0	0	0	0	14	0	0
DB00193	11	625	9	1	1	2	0	14
DB00194	4	110	8	0	0	16	0	0
DB00195	4	263	1	0	0	11	2	0
DB00196	8	158	10	4	0	1	0	5
DB00198	6	124	0	1	0	0	0	0
DB00199	11	69	4	2	0	7	0	3
DB00200	11	78	0	0	0	1	0	0
DB00201	22	58	4	2	1	6	0	2
DB00202	10	43	0	1	0	2	0	0
DB00203	17	341	5	0	3	2	0	1
DB00204	4	62	7	0	0	2	0	1
DB00205	4	15	38	1	0	1	1	15
DB00206	8	43	104	1	0	4	1	54
DB00207	4	201	11	1	0	7	0	4
DB00208	11	84	1	1	0	1	0	0
DB00209	4	125	0	1	0	11	0	0
DB00210	6	59	2	1	0	0	0	2
DB00211	5	71	1	0	0	3	0	1
DB00212	1	0	0	0	0	1	0	0
DB00213	9	369	2	0	0	4	0	1
DB00214	5	58	6	1	1	0	1	2
DB00215	14	823	8	0	3	1	1	2
DB00216	14	257	0	2	1	8	0	0
DB00217	2	0	0	0	0	18	0	0
DB00218	1	438	0	1	1	10	0	0
DB00219	2	0	0	0	0	8	0	0
DB00220	14	130	5	0	0	3	1	42
DB00221	2	0	0	0	0	11	1	0
DB00222	4	126	0	1	0	7	1	0
DB00223	1	15	39	0	0	31	0	34
DB00224	13	223	18	0	0	4	1	3
DB00225	0	109	0	1	0	5	0	0
DB00226	1	0	0	0	0	0	1	0
DB00227	19	121	152	0	0	2	2	58
DB00228	13	18	0	1	0	2	0	0
DB00229	1	0	22	0	0	21	0	18
DB00230	4	839	0	0	3	2	1	0
DB00231	25	94	0	1	0	29	0	0
DB00232	5	53	0	2	0	10	0	0
DB00233	6	57	5	0	0	7	0	7
DB00234	6	177	4	0	0	7	0	5
DB00235	1	23	0	0	0	1	0	0
DB00236	0	0	0	0	0	0	0	0
DB00237	8	35	0	0	0	12	0	0
DB00238	7	120	0	4	0	0	1	0
DB00239	2	14	4	1	0	7	0	4
DB00240	3	16	0	1	0	29	0	0
DB00241	13	0	0	1	1	9	0	0
DB00242	15	186	53	0	0	16	2	48
DB00243	4	110	4	4	0	10	0	5
DB00244	7	394	27	4	0	11	2	10
DB00245	6	32	1	1	4	22	0	1
DB00246	34	387	1	0	3	4	0	0
DB00247	11	72	2	0	0	6	0	0
DB00248	21	133	6	1	1	2	0	2
DB00249	0	6	2	1	0	8	0	6
DB00250	14	50	2	1	0	19	3	1
DB00251	0	29	0	1	0	3	0	2
DB00252	21	300	7	8	0	18	1	4
DB00253	2	23	13	1	0	21	0	18
DB00254	8	0	0	1	1	9	1	0
DB00255	14	0	1	0	0	3	0	1
