feature	feature_type	unperm_mean	unperm_sd
prior_prob	prior	0.040476	0.073232
CbG	degree	11.311	12.444
CcSE	degree	157.85	130.33
CdG	degree	34.042	70.86
CiPC	degree	0.97298	1.0253
CpD	degree	0.34331	1.0224
CrC	degree	7.4191	9.4891
CtD	degree	2.4506	3.1302
CuG	degree	31.447	69.417
DaG	degree	151.12	153.56
DdG	degree	83.279	111.31
DlA	degree	31.668	22.26
DpC	degree	2.7446	4.8895
DpS	degree	28.472	20.439
DrD	degree	7.9107	6.8047
DtC	degree	12.245	13.759
DuG	degree	84.365	112.34
CbG<rG<rGaD	dwpc	0.0014699	0.0028848
CbG<rG<rGdD	dwpc	0.00070996	0.0019065
CbG<rG<rGuD	dwpc	0.00078427	0.0021752
CbG<rGaD	dwpc	0.0011255	0.0023
CbG<rGaDrD	dwpc	0.0010369	0.0018423
CbG<rGbCpD	dwpc	7.0351e-05	0.0002818
CbG<rGbCtD	dwpc	0.00042593	0.0011189
CbG<rGcGaD	dwpc	0.00032245	0.00062799
CbG<rGcGdD	dwpc	0.00025865	0.00069571
CbG<rGcGuD	dwpc	0.00025531	0.00069807
CbG<rGdAlD	dwpc	0.00095441	0.0018932
CbG<rGdCpD	dwpc	0.00019943	0.00079088
CbG<rGdCtD	dwpc	0.001044	0.0024649
CbG<rGdD	dwpc	0.00052742	0.0015669
CbG<rGdDrD	dwpc	0.00048629	0.0010614
CbG<rGeAlD	dwpc	0.0022306	0.0037456
CbG<rGiGaD	dwpc	0.0016866	0.0032326
CbG<rGiGdD	dwpc	0.00080933	0.0020904
CbG<rGiGuD	dwpc	0.00085948	0.0022615
CbG<rGr>GaD	dwpc	0.0022286	0.0043736
CbG<rGr>GdD	dwpc	0.0014205	0.0038588
CbG<rGr>GuD	dwpc	0.0018533	0.0051272
CbG<rGuAlD	dwpc	0.0010346	0.0020744
CbG<rGuCpD	dwpc	0.00018222	0.00077483
CbG<rGuCtD	dwpc	0.0010616	0.0025181
CbG<rGuD	dwpc	0.00058424	0.0017251
CbG<rGuDrD	dwpc	0.00048681	0.0010318
CbGaD	dwpc	0.0045493	0.012104
CbGaDaGaD	dwpc	0.0075094	0.0080627
CbGaDaGdD	dwpc	0.0020967	0.0038113
CbGaDaGuD	dwpc	0.0024041	0.0045605
CbGaDdGaD	dwpc	0.0016005	0.0020818
CbGaDdGdD	dwpc	0.0010113	0.0020583
CbGaDdGuD	dwpc	0.0011216	0.0023048
CbGaDlAlD	dwpc	0.0065213	0.0062505
CbGaDpCpD	dwpc	0.00097801	0.0027401
CbGaDpCtD	dwpc	0.0011884	0.0027283
CbGaDpSpD	dwpc	0.0064613	0.0060253
CbGaDrD	dwpc	0.0031118	0.0055158
CbGaDrDrD	dwpc	0.0035174	0.0048017
CbGaDtCpD	dwpc	0.00059999	0.0021666
CbGaDtCtD	dwpc	0.0035305	0.0052244
CbGaDuGaD	dwpc	0.0018445	0.0022857
CbGaDuGdD	dwpc	0.0011063	0.0022121
CbGaDuGuD	dwpc	0.0011355	0.00242
CbGbCbGaD	dwpc	0.0082611	0.012351
CbGbCbGdD	dwpc	0.0016514	0.0043557
CbGbCbGuD	dwpc	0.0017799	0.0045473
CbGbCdGaD	dwpc	0.0039632	0.0052557
CbGbCdGdD	dwpc	0.0023074	0.004682
CbGbCdGuD	dwpc	0.0034167	0.0079136
CbGbCpD	dwpc	0.0030779	0.0083744
CbGbCpDrD	dwpc	0.0031355	0.0057352
CbGbCrCpD	dwpc	0.0028381	0.0083533
CbGbCrCtD	dwpc	0.012081	0.02518
CbGbCtD	dwpc	0.01456	0.028809
CbGbCtDrD	dwpc	0.0082897	0.012035
CbGbCuGaD	dwpc	0.0048157	0.0059816
