metapath	metaedge	metaedge_abbrev	position	length
CbGaD	Compound - binds - Gene	CbG	1	2
CbGaD	Disease - associates - Gene	DaG	2	2
CbGdD	Compound - binds - Gene	CbG	1	2
CbGdD	Disease - downregulates - Gene	DdG	2	2
CbGuD	Compound - binds - Gene	CbG	1	2
CbGuD	Disease - upregulates - Gene	DuG	2	2
CdGaD	Compound - downregulates - Gene	CdG	1	2
CdGaD	Disease - associates - Gene	DaG	2	2
CdGdD	Compound - downregulates - Gene	CdG	1	2
CdGdD	Disease - downregulates - Gene	DdG	2	2
CdGuD	Compound - downregulates - Gene	CdG	1	2
CdGuD	Disease - upregulates - Gene	DuG	2	2
CpDrD	Compound - palliates - Disease	CpD	1	2
CpDrD	Disease - resembles - Disease	DrD	2	2
CrCpD	Compound - resembles - Compound	CrC	1	2
CrCpD	Compound - palliates - Disease	CpD	2	2
CrCtD	Compound - resembles - Compound	CrC	1	2
CrCtD	Compound - treats - Disease	CtD	2	2
CtDrD	Compound - treats - Disease	CtD	1	2
CtDrD	Disease - resembles - Disease	DrD	2	2
CuGaD	Compound - upregulates - Gene	CuG	1	2
CuGaD	Disease - associates - Gene	DaG	2	2
CuGdD	Compound - upregulates - Gene	CuG	1	2
CuGdD	Disease - downregulates - Gene	DdG	2	2
CuGuD	Compound - upregulates - Gene	CuG	1	2
CuGuD	Disease - upregulates - Gene	DuG	2	2
CbG<rGaD	Compound - binds - Gene	CbG	1	3
CbG<rGaD	Gene > regulates > Gene	GrG	2	3
CbG<rGaD	Disease - associates - Gene	DaG	3	3
CbG<rGdD	Compound - binds - Gene	CbG	1	3
CbG<rGdD	Gene > regulates > Gene	GrG	2	3
CbG<rGdD	Disease - downregulates - Gene	DdG	3	3
CbG<rGuD	Compound - binds - Gene	CbG	1	3
CbG<rGuD	Gene > regulates > Gene	GrG	2	3
CbG<rGuD	Disease - upregulates - Gene	DuG	3	3
CbGaDrD	Compound - binds - Gene	CbG	1	3
CbGaDrD	Disease - associates - Gene	DaG	2	3
CbGaDrD	Disease - resembles - Disease	DrD	3	3
CbGbCpD	Compound - binds - Gene	CbG	1	3
CbGbCpD	Compound - binds - Gene	CbG	2	3
CbGbCpD	Compound - palliates - Disease	CpD	3	3
