abbreviation	length	midpoint_index	optimal_join_index	sequential_complexity
CbGaD	2	1	2	1.706732543946901
CbGdD	2	1	2	1.487695881502091
CbGuD	2	1	2	1.4938056350026265
CdGaD	2	1	2	1.9676852690617828
CdGdD	2	1	2	1.7486486066169729
CdGuD	2	1	2	1.7547583601175083
CpDrD	2	1	2	1.3534532979665137
CrCpD	2	1	2	1.376459262948858
CrCtD	2	1	2	1.663341607551547
CtDrD	2	1	2	1.6403356425692028
CuGaD	2	1	2	1.9165018744280085
CuGdD	2	1	2	1.6974652119831986
CuGuD	2	1	2	1.703574965483734
CbG<rGaD	3	1	3	2.809997964422929
CbG<rGdD	3	1	3	2.590961301978119
CbG<rGuD	3	1	3	2.5970710554786547
CbGaDrD	3	1	2	2.6058418020433223
CbGbCpD	3	1	3	1.0691137454220931
CbGbCtD	3	1	3	1.355996090024782
CbGcGaD	3	1	3	2.4769180644924744
CbGcGdD	3	1	3	2.2578814020476643
CbGcGuD	3	1	3	2.2639911555482
CbGdAlD	3	1	2	3.5675084579454284
CbGdCpD	3	1	3	1.3300664705369751
CbGdCtD	3	1	3	1.616948815139664
CbGdDrD	3	1	2	2.3868051395985126
CbGeAlD	3	1	2	4.279209272891182
CbGiGaD	3	1	3	2.863031038946666
CbGiGdD	3	1	3	2.6439943765018565
CbGiGuD	3	1	3	2.6501041300023918
CbGr>GaD	3	1	3	2.809997964422929
CbGr>GdD	3	1	3	2.590961301978119
CbGr>GuD	3	1	3	2.5970710554786547
CbGuAlD	3	1	2	3.5484395702948666
CbGuCpD	3	1	3	1.2788830759032006
CbGuCtD	3	1	3	1.5657654205058895
CbGuDrD	3	1	2	2.392914893099048
CcSEcCpD	3	1	1	3.7906742292140714
CcSEcCtD	3	1	1	4.077556573816761
CdG<rGaD	3	1	3	3.0709506895378107
CdG<rGdD	3	1	3	2.851914027093001
CdG<rGuD	3	1	3	2.8580237805935362
CdGaDrD	3	1	2	2.8667945271582043
CdGbCpD	3	1	3	1.3300664705369751
CdGbCtD	3	1	3	1.616948815139664
CdGcGaD	3	1	3	2.737870789607356
CdGcGdD	3	1	3	2.5188341271625463
CdGcGuD	3	1	3	2.524943880663082
CdGdAlD	3	1	2	3.828461183060311
CdGdCpD	3	1	3	1.591019195651857
CdGdCtD	3	1	3	1.877901540254546
CdGdDrD	3	1	2	2.647757864713394
