hetnet	compound_id	disease_id	status
rephetio-v2.0	DB00014	DOID:0050741	0
rephetio-v2.0_perm-5	DB00014	DOID:0050741	0
rephetio-v2.0_perm-1	DB00014	DOID:1024	0
rephetio-v2.0	DB00014	DOID:10283	1
rephetio-v2.0_perm-3	DB00014	DOID:10283	0
rephetio-v2.0	DB00014	DOID:10763	0
rephetio-v2.0_perm-2	DB00014	DOID:11054	0
rephetio-v2.0_perm-3	DB00014	DOID:11612	0
rephetio-v2.0_perm-5	DB00014	DOID:11612	1
rephetio-v2.0_perm-1	DB00014	DOID:1192	1
rephetio-v2.0	DB00014	DOID:12236	0
rephetio-v2.0_perm-3	DB00014	DOID:12236	0
rephetio-v2.0_perm-3	DB00014	DOID:12306	0
rephetio-v2.0_perm-3	DB00014	DOID:12361	0
rephetio-v2.0_perm-4	DB00014	DOID:12361	0
rephetio-v2.0_perm-1	DB00014	DOID:12365	0
rephetio-v2.0_perm-3	DB00014	DOID:12365	0
rephetio-v2.0_perm-3	DB00014	DOID:12930	0
rephetio-v2.0_perm-5	DB00014	DOID:1312	0
rephetio-v2.0	DB00014	DOID:13189	0
rephetio-v2.0_perm-4	DB00014	DOID:1319	1
rephetio-v2.0_perm-2	DB00014	DOID:1324	0
rephetio-v2.0_perm-3	DB00014	DOID:1324	0
rephetio-v2.0	DB00014	DOID:1612	1
rephetio-v2.0	DB00014	DOID:1781	0
rephetio-v2.0_perm-3	DB00014	DOID:1781	0
rephetio-v2.0_perm-1	DB00014	DOID:1826	0
rephetio-v2.0_perm-3	DB00014	DOID:1909	0
rephetio-v2.0	DB00014	DOID:2043	0
rephetio-v2.0_perm-2	DB00014	DOID:2043	0
rephetio-v2.0_perm-2	DB00014	DOID:219	1
rephetio-v2.0_perm-2	DB00014	DOID:2377	0
rephetio-v2.0_perm-5	DB00014	DOID:2377	1
rephetio-v2.0_perm-1	DB00014	DOID:3277	0
rephetio-v2.0_perm-2	DB00014	DOID:3310	0
rephetio-v2.0_perm-3	DB00014	DOID:3310	0
rephetio-v2.0_perm-2	DB00014	DOID:332	0
rephetio-v2.0_perm-5	DB00014	DOID:4045	0
rephetio-v2.0_perm-5	DB00014	DOID:4481	0
rephetio-v2.0	DB00014	DOID:4989	0
rephetio-v2.0_perm-2	DB00014	DOID:4989	0
rephetio-v2.0_perm-3	DB00014	DOID:4989	0
rephetio-v2.0_perm-5	DB00014	DOID:5408	0
rephetio-v2.0	DB00014	DOID:635	0
rephetio-v2.0_perm-3	DB00014	DOID:635	0
rephetio-v2.0_perm-5	DB00014	DOID:635	0
rephetio-v2.0_perm-3	DB00014	DOID:7148	1
rephetio-v2.0_perm-2	DB00014	DOID:8577	1
rephetio-v2.0_perm-3	DB00014	DOID:9008	0
rephetio-v2.0_perm-2	DB00014	DOID:9074	0
rephetio-v2.0_perm-1	DB00014	DOID:9352	1
rephetio-v2.0_perm-5	DB00014	DOID:9352	0
rephetio-v2.0_perm-2	DB00014	DOID:9744	0
rephetio-v2.0_perm-5	DB00014	DOID:9744	0
rephetio-v2.0_perm-3	DB00014	DOID:986	1
rephetio-v2.0	DB00014	DOID:9970	0
rephetio-v2.0_perm-3	DB00014	DOID:9970	0
rephetio-v2.0_perm-4	DB00014	DOID:9970	1
rephetio-v2.0_perm-3	DB00091	DOID:10652	0
