feature	all_features	perm_affected	feature_type	nonzero	auroc	auroc_permuted	delta_auroc	pval_auroc	fdr_pval_auroc
CbGaD	1	1	dwpc	0.31444	0.71627	0.57794	0.13832	2.9404e-06	0.00025476
CbGaDuGaD	1	0	dwpc	0.90993	0.65517	0.6332	0.021965	0.01508	0.044028
CbGbCpDrD	1	0	dwpc	0.6204	0.53955	0.5256	0.013953	0.49222	0.59886
CbGbCtD	1	1	dwpc	0.7298	0.86666	0.66722	0.19945	2.9988e-07	7.2751e-05
CbGcGbCpD	1	0	dwpc	0.02649	0.50753	0.51344	-0.0059129	0.316	0.42856
CbGcGeAlD	1	0	dwpc	0.93325	0.5644	0.55842	0.00598	0.31637	0.42856
CbGdCdGdD	1	0	dwpc	0.20265	0.5572	0.54391	0.013288	0.012305	0.038359
CbGdCrCpD	1	0	dwpc	0.055099	0.53305	0.51619	0.016854	0.035172	0.076871
CbGdDuGdD	1	0	dwpc	0.35391	0.56037	0.55559	0.0047867	0.26573	0.37611
CbGeAlDrD	1	1	dwpc	0.94808	0.57726	0.5142	0.063066	0.00035569	0.0039223
CbGiGcGdD	1	0	dwpc	0.36132	0.56321	0.55413	0.0090813	0.06566	0.12507
CbGiGeAlD	1	0.72	dwpc	0.97086	0.59297	0.55186	0.041107	0.00038351	0.0040452
CbGiGr>GdD	1	0	dwpc	0.41325	0.56922	0.56948	-0.00025587	0.95083	0.95873
CbG<rGaD	1	1	dwpc	0.45483	0.6133	0.57658	0.036724	0.00039027	0.004081
CbGuCrCpD	1	0	dwpc	0.073377	0.53106	0.52954	0.0015244	0.77686	0.82734
CbGuDdGdD	1	0	dwpc	0.33457	0.56826	0.55733	0.010923	0.02154	0.054775
CbGuDtCpD	1	0	dwpc	0.046623	0.52871	0.51599	0.012728	0.010062	0.03381
CcSEcCbGdD	1	0	dwpc	0.43656	0.55959	0.57191	-0.01232	0.034766	0.076397
CcSEcCdGdD	1	0	dwpc	0.40583	0.55415	0.56885	-0.014703	0.011772	0.037296
CcSEcCpD	1	0	dwpc	0.48185	0.59759	0.60159	-0.0040012	0.53981	0.64624
CcSEcCtD	1	1	dwpc	0.95046	0.81335	0.69989	0.11347	7.3271e-07	0.00012697
CdGaDpCtD	1	1	dwpc	0.17192	0.56647	0.60789	-0.041423	0.0012505	0.0083067
CdGbCbGdD	1	0	dwpc	0.12901	0.55562	0.54535	0.010276	0.020138	0.05242
CdGbCpDrD	1	0	dwpc	0.026755	0.49995	0.53673	-0.036779	0.0009233	0.0069536
CdGbCrCpD	1	1	dwpc	0.02702	0.50283	0.54361	-0.04078	0.00018624	0.0026269
CdGcGaDrD	1	0	dwpc	0.34781	0.56193	0.56416	-0.0022294	0.78701	0.83521
CdGcGbCtD	1	0	dwpc	0.17351	0.58082	0.59574	-0.014924	0.010395	0.034545
CdGcGdDrD	1	0	dwpc	0.28291	0.5566	0.54726	0.0093459	0.33316	0.44556
CdGcGuCtD	1	0	dwpc	0.27656	0.60142	0.61641	-0.014996	0.0036202	0.016085
CdGdCrCtD	1	0.9	dwpc	0.50649	0.6781	0.63597	0.042136	0.00015541	0.0024462
CdGdD	1	0	dwpc	0.077881	0.54544	0.53072	0.014716	0.016434	0.046574
CdGdDpCtD	1	1	dwpc	0.12874	0.54304	0.59498	-0.05194	0.00045878	0.0046375
CdGdDuGuD	1	0	dwpc	0.25881	0.56808	0.58054	-0.01246	0.045256	0.092729
CdG<rGuAlD	1	0	dwpc	0.56185	0.57954	0.58238	-0.0028355	0.68201	0.75689
CdGuDuGaD	1	0	dwpc	0.58861	0.61162	0.61323	-0.0016112	0.57952	0.68116
CdGuDuGdD	1	0	dwpc	0.26278	0.57823	0.57258	0.0056525	0.13388	0.21682
CiPCiCtD	1	1	dwpc	0.13351	0.75545	0.52421	0.23124	1.7466e-08	2.1187e-05
CpDaGdCtD	1	1	dwpc	0.10914	0.53254	0.53877	-0.0062342	0.0016611	0.0099257
CpDdGbCtD	1	0	dwpc	0.054834	0.51686	0.5208	-0.0039352	0.33066	0.44418
CpDpCtD	1	1	dwpc	0.037881	0.56617	0.52548	0.040696	0.00021492	0.0028779
CpDpCuGaD	1	0	dwpc	0.10013	0.52149	0.53213	-0.010638	0.0051697	0.020493
CpDpCuGdD	1	1	dwpc	0.041325	0.50853	0.52164	-0.013108	0.00030973	0.0036126
CpDrDpCpD	1	1	dwpc	0.022781	0.52048	0.51148	0.0089996	0.0014082	0.0088969
