degree_transformer	dwpc_scaler	dwpc_transformer	alpha	auroc	auroc_lower	auroc_upper	auprc	auprc_lower	auprc_upper
asinh	mean	log1p	0	0.9941835007236502	0.9938819015259823	0.9944850999213182	0.9805812551344719	0.9797400253392434	0.9814224849297004
log1p	mean	log1p	0	0.9939196526468115	0.9936136156188465	0.9942256896747764	0.9799278139925954	0.9790933266429561	0.9807623013422347
asinh	mean	asinh	0	0.9939027235647536	0.9936456569428102	0.9941597901866971	0.9798313007466237	0.9791162508835523	0.9805463506096952
asinh	mean	log1p	1	0.9936890487259292	0.9933480833324239	0.9940300141194346	0.977250060110609	0.97617721198928	0.978322908231938
asinh	mean	asinh	1	0.9935960703477849	0.9932037859475018	0.9939883547480679	0.9773938761438716	0.9761721275863983	0.978615624701345
log1p	mean	asinh	0	0.9935232665233965	0.9932028538725103	0.9938436791742827	0.978868258222241	0.9779986999306678	0.9797378165138142
log1p	mean	log1p	1	0.9932559975439629	0.9928474151571327	0.993664579930793	0.9760233968885373	0.9747618598637972	0.9772849339132775
log1p	mean	asinh	1	0.9930758738651759	0.992692747300904	0.9934590004294479	0.9759168757001031	0.9747433834879294	0.9770903679122768
asinh	sd	log1p	0	0.993058111486337	0.9926807056828691	0.993435517289805	0.9778293096860897	0.97685632341224	0.9788022959599394
asinh	sd	log1p	1	0.9927642647252277	0.9922107096270137	0.9933178198234417	0.9742000424907916	0.9725158238868482	0.975884261094735
log1p	sd	log1p	0	0.9926407613701149	0.9922596063977619	0.993021916342468	0.9768451420730495	0.9758774071522685	0.9778128769938306
log1p	sd	log1p	1	0.9921923599842065	0.9916353671858396	0.9927493527825735	0.9726560662361603	0.970984378920694	0.9743277535516266
asinh	sd	asinh	0	0.9921189421516592	0.9916955811019961	0.9925423032013223	0.9754870996001543	0.974404491410393	0.9765697077899157
asinh	sd	asinh	1	0.9918791719661371	0.9912691993153542	0.99248914461692	0.9720778947014572	0.9702723735698355	0.9738834158330789
log1p	sd	asinh	0	0.9917918512345952	0.9913761495006079	0.9922075529685825	0.9747505384223849	0.9737028609596297	0.9757982158851402
