hetnet	metapath	nonzero	auroc	auprc	mean_PC	seconds_per_query	permuted
hetio-ind	CbG<rG<rGaD	0.869	0.652	0.354	567	0.057	0
hetio-ind	CbG<rG<rGdD	0.416	0.583	0.261	862	0.0767	0
hetio-ind	CbG<rG<rGuD	0.421	0.587	0.268	1.07e+03	0.0958	0
hetio-ind	CbG<rGaD	0.552	0.636	0.338	7.25	0.0349	0
hetio-ind	CbG<rGaDrD	0.716	0.566	0.256	36.4	0.017	0
hetio-ind	CbG<rGbCpD	0.123	0.563	0.309	0.557	0.0123	0
hetio-ind	CbG<rGbCtD	0.403	0.651	0.362	5.11	0.0128	0
hetio-ind	CbG<rGcGaD	0.602	0.629	0.312	11.2	0.016	0
hetio-ind	CbG<rGcGdD	0.353	0.571	0.254	59.8	0.0275	0
hetio-ind	CbG<rGcGuD	0.349	0.561	0.254	56.8	0.0269	0
hetio-ind	CbG<rGdAlD	0.733	0.595	0.277	186	0.0422	0
hetio-ind	CbG<rGdCpD	0.205	0.561	0.278	3.94	0.0119	0
hetio-ind	CbG<rGdCtD	0.69	0.656	0.382	81.1	0.0221	0
hetio-ind	CbG<rGdD	0.305	0.557	0.254	11	0.044	0
hetio-ind	CbG<rGdDrD	0.58	0.524	0.239	48.8	0.0232	0
hetio-ind	CbG<rGeAlD	0.864	0.608	0.279	1.19e+03	0.186	0
hetio-ind	CbG<rGiGaD	0.855	0.646	0.348	345	0.0406	0
hetio-ind	CbG<rGiGdD	0.42	0.582	0.261	569	0.0592	0
hetio-ind	CbG<rGiGuD	0.416	0.588	0.27	688	0.0686	0
hetio-ind	CbG<rGr>GaD	0.879	0.663	0.359	1.31e+03	0.0786	0
hetio-ind	CbG<rGr>GdD	0.424	0.585	0.261	3.33e+03	0.174	0
hetio-ind	CbG<rGr>GuD	0.448	0.597	0.275	4.61e+03	0.244	0
hetio-ind	CbG<rGuAlD	0.732	0.59	0.278	191	0.0402	0
hetio-ind	CbG<rGuCpD	0.19	0.573	0.297	4.02	0.0121	0
hetio-ind	CbG<rGuCtD	0.668	0.66	0.38	71	0.0219	0
hetio-ind	CbG<rGuD	0.301	0.553	0.254	13.8	0.0533	0
hetio-ind	CbG<rGuDrD	0.577	0.532	0.247	62.1	0.0247	0
hetio-ind	CbGaD	0.312	0.715	0.504	0.636	0.0145	0
hetio-ind	CbGaDaGaD	0.975	0.693	0.379	673	0.0411	0
hetio-ind	CbGaDaGdD	0.473	0.576	0.254	384	0.0304	0
hetio-ind	CbGaDaGuD	0.472	0.583	0.255	481	0.0346	0
hetio-ind	CbGaDdGaD	0.94	0.663	0.34	290	0.0284	0
hetio-ind	CbGaDdGdD	0.474	0.582	0.252	1.16e+03	0.0598	0
hetio-ind	CbGaDdGuD	0.484	0.589	0.246	875	0.0493	0
hetio-ind	CbGaDlAlD	0.955	0.646	0.312	140	0.0234	0
hetio-ind	CbGaDpCpD	0.259	0.582	0.296	2.85	0.0113	0
