metapath	nonzero	auroc	auprc
CiDiCsCiD	0.886	0.958	0.755
CiDsDiCiD	0.825	0.924	0.555
CiDiCiD	0.722	0.893	0.505
CiDiCiDsD	0.855	0.878	0.474
CiDsDlAlD	0.996	0.868	0.374
CiDsDpSpD	1.000	0.864	0.342
CiDsDaGaD	0.996	0.857	0.393
CiDsDsDsD	0.664	0.854	0.425
CiDlAlDsD	0.998	0.845	0.413
CiDpSpDsD	1.000	0.824	0.348
CiDaGbCiD	0.997	0.823	0.357
CiDaGaDsD	0.999	0.816	0.384
CsCsCsCiD	0.341	0.813	0.543
CbGbCsCiD	0.941	0.800	0.382
CiDaGaD	0.992	0.793	0.322
CiDsDsD	0.421	0.792	0.300
CiDpSpD	0.978	0.782	0.248
CiDaGiGaD	1.000	0.769	0.311
CbGbCiD	0.907	0.754	0.312
CiDlAlD	0.965	0.754	0.244
CiDiCbGaD	0.930	0.751	0.302
CiDsD	0.189	0.750	0.318
CsCiD	0.111	0.747	0.463
CsCsCiD	0.209	0.745	0.441
CsCbGbCiD	0.795	0.741	0.389
CsCiDiCiD	0.575	0.737	0.377
CcSEcCiD	0.949	0.728	0.249
CcSEcCsCiD	0.949	0.717	0.235
CbGaDiCiD	0.959	0.702	0.206
CsCiDsDsD	0.386	0.687	0.218
CiDlAeGaD	1.000	0.687	0.183
CsCiDsD	0.200	0.670	0.246
CiDaGeAlD	1.000	0.665	0.171
CiDlAuGaD	1.000	0.663	0.187
CsCsCiDsD	0.318	0.655	0.232
CbGbCiDsD	0.928	0.654	0.187
CsCcSEcCiD	0.809	0.654	0.216
CbGiGbCiD	0.742	0.652	0.166
CiDiCdGaD	0.931	0.645	0.230
CiDaGou>GaD	0.981	0.644	0.209
CiDaGdCiD	0.985	0.642	0.226
CiDaG<ouGaD	0.936	0.640	0.221
CsCiDaGaD	0.727	0.639	0.224
CiDaG<kuGaD	0.998	0.639	0.200
CiDaGku>GaD	0.993	0.639	0.192
CsCiDpSpD	0.714	0.638	0.171
CiDaGeGaD	0.952	0.637	0.190
CbGaD	0.394	0.633	0.171
CbGaDaGaD	0.999	0.628	0.150
CsCiDlAlD	0.710	0.625	0.163
CbGaDsDsD	0.849	0.621	0.148
CiDaG<odGaD	0.917	0.621	0.194
CiDaGuAlD	0.857	0.621	0.189
CiDiCuGaD	0.963	0.621	0.205
CiDaGod>GaD	0.881	0.618	0.194
CsCbGaD	0.490	0.617	0.170
CiDaG<kdGaD	0.995	0.617	0.191
CiDaGuCiD	0.986	0.613	0.215
CsCuGuCiD	0.715	0.612	0.226
CiDaGkd>GaD	0.921	0.611	0.200
CbGaDsD	0.635	0.609	0.145
CiDuGbCiD	0.264	0.608	0.168
CbGaDpSpD	0.997	0.608	0.142
CiDuGuCiD	0.284	0.607	0.204
CsCdGdCiD	0.727	0.606	0.216
CuGuCsCiD	0.671	0.605	0.206
CbGiGiGaD	0.994	0.603	0.134
CbGpPWpGaD	0.986	0.602	0.132
CiDdGaD	0.224	0.602	0.157
CiDdGkd>GaD	0.281	0.602	0.167
CiDuGeGaD	0.283	0.601	0.164
CiDuGod>GaD	0.236	0.601	0.166
CbGaDlAlD	0.995	0.600	0.131
CiDdG<ouGaD	0.266	0.600	0.158
CiDdGod>GaD	0.229	0.600	0.173
CdGdCsCiD	0.724	0.599	0.195
CuGuCiD	0.610	0.599	0.192
CiDuG<odGaD	0.287	0.598	0.165
CiDdG<kuGaD	0.303	0.597	0.177
CiDuGkd>GaD	0.289	0.596	0.166
CiDdGuCiD	0.295	0.596	0.199
CiDdGdCiD	0.301	0.596	0.194
CiDdG<odGaD	0.285	0.595	0.157
CdGdCiD	0.679	0.595	0.181
CiDdGou>GaD	0.257	0.595	0.150
CiDuGaD	0.249	0.594	0.176
CiDdGku>GaD	0.306	0.594	0.147
CiDdG<kdGaD	0.306	0.593	0.166
CsCsCbGaD	0.571	0.593	0.156
CiDuG<kuGaD	0.306	0.592	0.158
CiDuGdCiD	0.311	0.592	0.192
CbGrPBrGaD	1.000	0.592	0.131
CbGpMFpGaD	0.994	0.592	0.136
CiDdGiGaD	0.310	0.592	0.164
CiDuGou>GaD	0.298	0.592	0.152
CiDdGbCiD	0.197	0.592	0.176
CiDuGiGaD	0.311	0.592	0.169
CiDuG<ouGaD	0.282	0.591	0.161
CiDuGku>GaD	0.312	0.591	0.151
CbGaDuGaD	0.746	0.591	0.128
CiDuG<kdGaD	0.312	0.591	0.159
CcSEcCuGaD	0.949	0.591	0.131
CbG<kuGbCiD	0.254	0.590	0.137
CbGku>GdCiD	0.783	0.589	0.135
CsCbGaDsD	0.677	0.589	0.135
CbGod>GuCiD	0.464	0.589	0.119
CiDdGeGaD	0.288	0.589	0.143
CbGku>GbCiD	0.341	0.587	0.130
CcSEcCdGaD	0.930	0.587	0.134
CbGiGaD	0.685	0.587	0.131
CsCsCuGaD	0.536	0.586	0.147
CsCbGiGaD	0.708	0.585	0.133
CbGku>GiGaD	0.860	0.585	0.131
CbGku>GuCiD	0.892	0.585	0.152
