metapath	optimal_time	midpoint_time	no_hint_time
CbG<rGr>GaD	0.4009	0.06256	0.3971
CbGaDlAlD	0.01208	0.0101	0.09253
CbGbCuGuD	0.1405	0.01096	0.1404
CbGcG<rGaD	0.01311	0.02864	0.01283
CbGcGbCpD	0.002972	0.002147	0.003165
CbGcGcGdD	0.01579	0.004822	0.0149
CbGcGiGdD	0.007088	0.007198	0.007188
CbGcGr>GuD	0.007691	0.01028	0.008341
CbGdCbGuD	0.004435	0.002754	0.004852
CbGeAeGuD	0.5665	0.5665	0.57
CbGiGdD	0.004198	0.007073	0.004329
CbGpBPpGdD	0.05828	0.05828	0.05808
CbGpBPpGuD	0.06566	0.06566	0.06506
CbGpMFpGdD	0.01343	0.01343	0.2708
CbGr>GbCpD	0.005567	0.002885	0.00581
CbGuD	0.002005	0.002522	0.001799
CdG<rGiGuD	2.479	0.1261	2.478
CdGbCbGdD	0.004699	0.003666	0.004955
CdGbCdGaD	0.01288	0.004807	0.01301
CdGcGr>GuD	0.0338	0.01175	0.03418
CdGdAdGuD	0.2284	0.2284	6.053
CdGdDuGaD	0.008291	0.008291	0.05821
CdGeAeGdD	3.57	3.57	3.552
CdGeAuGdD	0.7937	0.7937	0.7906
CdGiGdDrD	0.01343	0.009454	0.07715
CdGpCCpGuD	0.02996	0.02996	0.5797
CdGpMFpGuD	0.03047	0.03047	0.6471
CdGuCdGaD	0.3087	0.03433	0.3114
CdGuDaGuD	0.006291	0.006291	0.0573
CdGuDpSpD	0.01224	0.01113	0.08124
CpDaG<rGdD	0.01971	0.004225	0.01993
CpDaGbCtD	0.004908	0.002687	0.004847
CpDaGr>GuD	0.02415	0.004775	0.02383
CpDdGcGdD	0.003372	0.002485	0.003568
CpDdGdAlD	0.003562	0.005307	0.01812
CpDdGiGdD	0.008215	0.00302	0.007948
CpDlAdGuD	0.003123	0.003123	0.02486
CpDpCbGuD	0.002159	0.002091	0.002684
CpDpCrCpD	0.002559	0.001878	0.002253
CpDpCrCtD	0.002944	0.002431	0.002563
CpDuGcGdD	0.003141	0.002233	0.003287
CpDuGiGuD	0.009148	0.003268	0.009098
CrCbGdD	0.002203	0.002299	0.0022
CrCdGuCpD	0.01104	0.003123	0.01055
CrCrCrCpD	0.00274	0.00274	0.07414
CrCtDpCpD	0.004359	0.002308	0.004498
CrCuGuDrD	0.003528	0.00356	0.0166
CtDdGaDrD	0.005253	0.005165	0.01761
CtDdGuAlD	0.01514	0.02912	0.1349
CtDlAdGdD	0.0113	0.0113	0.2671
CtDlAuGaD	0.02481	0.02481	0.3254
CtDuGaDrD	0.006447	0.005431	0.02094
CtDuGeAlD	0.06463	0.1606	0.7395
CuG<rGcGuD	0.2199	0.01765	0.2199
CuG<rGiGdD	1.561	0.07358	1.566
CuG<rGuDrD	0.04048	0.02506	0.2473
CuGbCpDrD	0.002749	0.002512	0.004107
CuGcG<rGaD	0.0513	0.02816	0.0511
CuGcGcGdD	0.09991	0.007625	0.09985
CuGdAeGaD	1.411	1.411	9.748
CuGdDdGaD	0.007666	0.007666	0.05952
CuGeAeGaD	7.803	7.803	7.763
CuGeAuGuD	0.7563	0.7563	0.758
CuGiGcGdD	0.05111	0.006959	0.05145
CuGiGcGuD	0.05079	0.007588	0.05028
CuGiGdCpD	0.02131	0.004943	0.02144
CuGiGiGdD	2.64	0.1018	2.646
CuGiGr>GdD	0.3699	0.02476	0.3703
CuGpPWpGaD	0.1135	0.1135	0.8069
CuGr>GaD	0.02389	0.02215	0.02385
CuGr>GdD	0.01556	0.007012	0.0161
CuGr>GeAlD	0.6371	0.4649	0.4671
CuGuAdGuD	0.229	0.229	5.8
CuGuCrCtD	0.2521	0.0141	0.253
CuGuDdGdD	0.006618	0.006618	0.07488
