metapath	optimal_is_best	midpoint_is_best	rank_of_fastest	min_seconds	delay_of_optimal	delay_of_midpoint	delay_of_nohint
CbG<rGr>GaD	0.04	0.7067	2.273	0.05695	0.344	0.005611	0.3395
CbGaDlAlD	0.24	0.7533	1.773	0.009452	0.002628	0.0006521	0.08313
CbGbCuGuD	0.006667	0.58	2.98	0.0101	0.1304	0.0008588	0.1296
CbGcG<rGaD	0.02667	0.04667	2.3	0.006307	0.006802	0.02233	0.006761
CbGcGbCpD	0.22	0.3	2.447	0.001785	0.001188	0.0003624	0.00125
CbGcGcGdD	0.02	0.44	3.127	0.003509	0.01228	0.001313	0.01178
CbGcGiGdD	0.1467	0.2533	2.467	0.0034	0.003688	0.003798	0.003561
CbGcGr>GuD	0.06667	0.3533	2.733	0.003669	0.004023	0.006608	0.004805
CbGdCbGuD	0.24	0.2867	2.567	0.002239	0.002196	0.000515	0.002568
CbGeAeGuD	0.3733	0.3733	2.293	0.5611	0.005431	0.005431	0.009069
CbGiGdD	0.16	0.2067	2.373	0.002454	0.001744	0.004619	0.001809
CbGpBPpGdD	0.2733	0.2733	2.627	0.05617	0.002111	0.002111	0.002368
CbGpBPpGuD	0.2467	0.2467	2.62	0.06327	0.002391	0.002391	0.001724
CbGpMFpGdD	0.7933	0.7933	1.513	0.01333	9.898e-05	9.898e-05	0.2583
CbGr>GbCpD	0.1533	0.38	3.04	0.002128	0.003439	0.0007574	0.003779
CbGuD	0.1933	0.2333	2.04	0.001619	0.0003865	0.0009038	0.0002117
CdG<rGiGuD	0.07333	0.5733	2.58	0.125	2.354	0.001102	2.355
CdGbCbGdD	0.1467	0.1733	3.02	0.002451	0.002248	0.001215	0.002747
CdGbCdGaD	0.1133	0.4667	2.647	0.004212	0.008663	0.0005948	0.009083
CdGcGr>GuD	0.2333	0.3133	2.447	0.008202	0.02559	0.003551	0.02598
CdGdAdGuD	0.6667	0.6667	1.887	0.2281	0.0002836	0.0002836	5.818
