disease	compound	metapath	optimal_is_best	midpoint_is_best	rank_of_fastest	min_seconds	delay_of_optimal	delay_of_midpoint	delay_of_nohint
Barrett's esophagus	Esomeprazole	CbG<rGr>GaD	0	0	4	0.001178	5.841e-05	0.000185	0.000344
Barrett's esophagus	Esomeprazole	CbGaDlAlD	0	1	2	0.002339	0.0008647	0	0.02028
Barrett's esophagus	Esomeprazole	CbGbCuGuD	0	1	2	0.01586	0.08548	0	0.07638
Barrett's esophagus	Esomeprazole	CbGcG<rGaD	0	0	2	0.003073	0.004003	0.0009344	0.008068
Barrett's esophagus	Esomeprazole	CbGcGbCpD	0	1	3	0.001308	0.001692	0	5.078e-05
Barrett's esophagus	Esomeprazole	CbGcGcGdD	0	0	4	0.003885	0.001178	0.008096	0.003339
Barrett's esophagus	Esomeprazole	CbGcGiGdD	1	0	1	0.004704	0	0.01209	-0.001592
Barrett's esophagus	Esomeprazole	CbGcGr>GuD	0	0	2	0.003179	0.0005679	0.02571	0.0009859
Barrett's esophagus	Esomeprazole	CbGdCbGuD	0	1	2	0.001614	0.001029	0	0.001127
Barrett's esophagus	Esomeprazole	CbGeAeGuD	1	1	1	0.1766	0	0	0.0004096
Barrett's esophagus	Esomeprazole	CbGiGdD	0	0	3	0.001438	0.000149	0.01673	0.0001898
Barrett's esophagus	Esomeprazole	CbGpBPpGdD	0	0	2	0.04628	0.009482	0.009482	0.003983
Barrett's esophagus	Esomeprazole	CbGpBPpGuD	0	0	4	0.04079	0.002227	0.002227	0.002979
Barrett's esophagus	Esomeprazole	CbGpMFpGdD	1	1	1	0.02293	0	0	0.1105
Barrett's esophagus	Esomeprazole	CbGr>GbCpD	0	1	3	0.001172	0.0003948	0	0.0004337
Barrett's esophagus	Esomeprazole	CbGuD	0	0	2	0.001411	0.0001671	0.000397	-0.000128
Barrett's esophagus	Esomeprazole	CdG<rGiGuD	0	1	2	0.0279	0.0553	0	0.05532
Barrett's esophagus	Esomeprazole	CdGbCbGdD	0	0	4	0.001207	0.0008266	0.000469	0.0002127
Barrett's esophagus	Esomeprazole	CdGbCdGaD	0	0	3	0.001276	0.0001056	5.603e-05	0.0003095
Barrett's esophagus	Esomeprazole	CdGcGr>GuD	1	0	1	0.002203	0	0.02356	-1.86e-05
Barrett's esophagus	Esomeprazole	CdGdAdGuD	1	1	1	0.02484	0	0	0.1867
Barrett's esophagus	Esomeprazole	CdGdDuGaD	0	0	2	0.001229	0.0001922	0.0001922	0.0004103
Barrett's esophagus	Esomeprazole	CdGeAeGdD	0	0	2	0.4844	0.01713	0.01713	-0.001379
Barrett's esophagus	Esomeprazole	CdGeAuGdD	0	0	5	0.09207	0.007125	0.007125	0.0008507
Barrett's esophagus	Esomeprazole	CdGiGdDrD	0	1	3	0.00123	0.0003059	0	0.0003924
