compound_treats	disease_treats	prior_perm	prior_perm_stderr	n_treatments	n_possible
1	1	0.00116183	5.44733e-07	5	3612
1	2	0.00234128	1.29275e-06	3	1290
1	3	0.00354044	1.77041e-06	4	1032
1	4	0.00475262	1.53018e-06	13	1806
1	5	0.00598069	3.23916e-06	2	516
1	6	0.00723097	2.48324e-06	5	1032
1	7	0.00849076	2.38284e-06	12	1290
1	8	0.00977296	3.3193e-06	7	774
1	9	0.0110695	2.68803e-06	13	1290
1	10	0.0123701	3.69744e-06	9	774
1	11	0.0137009	2.94812e-06	15	1290
1	12	0.015035	7.09746e-06	6	258
1	13	0.0163906	5.17733e-06	9	516
1	14	0.0177642	7.6683e-06	2	258
1	15	0.0191591	4.47503e-06	18	774
1	16	0.0205529	4.62447e-06	13	774
1	21	0.0277612	5.23539e-06	27	774
1	22	0.0292527	9.55877e-06	7	258
1	25	0.0337944	1.01604e-05	6	258
1	28	0.0384479	1.07177e-05	9	258
1	29	0.0400068	1.09121e-05	6	258
1	37	0.0530555	1.22077e-05	12	258
1	51	0.0777855	1.41011e-05	24	258
1	68	0.110635	1.58578e-05	31	258
2	1	0.00240756	1.62567e-06	3	994
2	2	0.00483244	3.86524e-06	2	355
2	3	0.00731052	5.29461e-06	2	284
2	4	0.0098008	4.57476e-06	5	497
2	5	0.0123201	9.70681e-06	1	142
2	6	0.0148643	7.43996e-06	5	284
2	7	0.0174521	7.14441e-06	7	355
2	8	0.0200383	9.94327e-06	3	213
2	9	0.0226748	8.06493e-06	9	355
2	10	0.0253415	1.109e-05	7	213
2	11	0.0279984	8.85631e-06	10	355
2	12	0.030651	2.13738e-05	2	71
2	13	0.0334441	1.55614e-05	3	142
2	14	0.0361978	2.30648e-05	1	71
2	15	0.0389261	1.34986e-05	8	213
2	16	0.0417224	1.39115e-05	7	213
2	21	0.0560022	1.58078e-05	10	213
2	22	0.0588416	2.88805e-05	5	71
2	25	0.0677373	3.07523e-05	7	71
2	28	0.0766281	3.24987e-05	5	71
2	29	0.07967	3.30967e-05	7	71
2	37	0.104257	3.71269e-05	11	71
2	51	0.148694	4.30799e-05	5	71
2	68	0.203904	4.86551e-05	17	71
3	1	0.00373252	4.14436e-06	0	266
3	2	0.00749964	9.84672e-06	2	95
3	3	0.0113118	1.34865e-05	1	76
3	4	0.0151313	1.16547e-05	1	133
3	5	0.019009	2.46434e-05	1	38
3	6	0.0229548	1.895e-05	4	76
3	7	0.0268181	1.81167e-05	1	95
3	8	0.030814	2.52629e-05	0	57
3	9	0.0348095	2.04856e-05	3	95
3	10	0.0388068	2.81716e-05	3	57
3	11	0.0428646	2.24502e-05	7	95
3	12	0.0468882	5.41271e-05	0	19
3	13	0.0510176	3.94312e-05	3	38
3	14	0.0550831	5.83267e-05	2	19
3	15	0.0592807	3.41346e-05	2	57
3	16	0.0633961	3.51723e-05	2	57
3	21	0.0844099	3.97401e-05	3	57
3	22	0.0886435	7.25201e-05	0	19
3	25	0.101276	7.70471e-05	2	19
3	28	0.114379	8.11936e-05	3	19
3	29	0.118611	8.26293e-05	4	19
3	37	0.153244	9.19822e-05	4	19
3	51	0.213242	0.000104594	7	19
3	68	0.283258	0.000115235	2	19
4	1	0.00512808	5.87836e-06	0	182
4	2	0.0103172	1.39821e-05	0	65
4	3	0.0154983	1.91023e-05	1	52
4	4	0.0207641	1.64599e-05	0	91
4	5	0.0260682	3.49038e-05	1	26
4	6	0.0313323	2.67205e-05	2	52
4	7	0.0366836	2.56264e-05	2	65
4	8	0.0419822	3.55466e-05	3	39
4	9	0.0474171	2.88348e-05	5	65
4	10	0.0527804	3.95251e-05	1	39
4	11	0.0581844	3.14589e-05	4	65
4	12	0.0638784	7.5939e-05	2	13
4	13	0.0690525	5.51823e-05	1	26
4	14	0.0744944	8.15832e-05	1	13
4	15	0.0799917	4.75968e-05	1	39
4	16	0.0854659	4.90227e-05	6	39
4	21	0.112974	5.50389e-05	4	39
4	22	0.118395	0.000100433	1	13
4	25	0.134746	0.000106004	1	13
4	28	0.151286	0.000111298	2	13
4	29	0.156614	0.000112769	4	13
4	37	0.199833	0.000124294	3	13
4	51	0.271856	0.000138649	3	13
4	68	0.351597	0.000149051	4	13
5	1	0.00666772	2.49718e-05	0	14
5	2	0.0133186	5.90309e-05	0	5
5	3	0.0200836	8.07054e-05	0	4
5	4	0.0266289	6.9311e-05	0	7
5	5	0.0337521	0.00014736	0	2
5	6	0.0401326	0.000112213	0	4
5	7	0.0469484	0.000107353	1	5
5	8	0.0534828	0.000148711	0	3
5	9	0.0604334	0.000120135	0	5
5	10	0.0673401	0.00016518	0	3
5	11	0.0739429	0.000131182	1	5
5	12	0.0808416	0.000315822	0	1
