compound_id	disease_id	compound_treats	disease_treats	prior_perm	prior_perm_stderr
DB00014	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00014	DOID:10652	2	4	0.0098008	4.57476e-06
DB00014	DOID:11934	2	4	0.0098008	4.57476e-06
DB00014	DOID:1459	2	4	0.0098008	4.57476e-06
DB00014	DOID:1781	2	4	0.0098008	4.57476e-06
DB00014	DOID:2043	2	4	0.0098008	4.57476e-06
DB00014	DOID:5041	2	4	0.0098008	4.57476e-06
DB00136	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00136	DOID:10652	2	4	0.0098008	4.57476e-06
DB00136	DOID:11934	2	4	0.0098008	4.57476e-06
DB00136	DOID:1459	2	4	0.0098008	4.57476e-06
DB00136	DOID:1781	2	4	0.0098008	4.57476e-06
DB00136	DOID:2043	2	4	0.0098008	4.57476e-06
DB00136	DOID:5041	2	4	0.0098008	4.57476e-06
DB00153	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00153	DOID:10652	2	4	0.0098008	4.57476e-06
DB00153	DOID:11934	2	4	0.0098008	4.57476e-06
DB00153	DOID:1459	2	4	0.0098008	4.57476e-06
DB00153	DOID:1781	2	4	0.0098008	4.57476e-06
DB00153	DOID:2043	2	4	0.0098008	4.57476e-06
DB00153	DOID:5041	2	4	0.0098008	4.57476e-06
DB00175	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00175	DOID:10652	2	4	0.0098008	4.57476e-06
DB00175	DOID:11934	2	4	0.0098008	4.57476e-06
DB00175	DOID:1459	2	4	0.0098008	4.57476e-06
DB00175	DOID:1781	2	4	0.0098008	4.57476e-06
DB00175	DOID:2043	2	4	0.0098008	4.57476e-06
DB00175	DOID:5041	2	4	0.0098008	4.57476e-06
DB00180	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00180	DOID:10652	2	4	0.0098008	4.57476e-06
DB00180	DOID:11934	2	4	0.0098008	4.57476e-06
DB00180	DOID:1459	2	4	0.0098008	4.57476e-06
DB00180	DOID:1781	2	4	0.0098008	4.57476e-06
DB00180	DOID:2043	2	4	0.0098008	4.57476e-06
DB00180	DOID:5041	2	4	0.0098008	4.57476e-06
DB00195	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00195	DOID:10652	2	4	0.0098008	4.57476e-06
DB00195	DOID:11934	2	4	0.0098008	4.57476e-06
DB00195	DOID:1459	2	4	0.0098008	4.57476e-06
DB00195	DOID:1781	2	4	0.0098008	4.57476e-06
DB00195	DOID:2043	2	4	0.0098008	4.57476e-06
DB00195	DOID:5041	2	4	0.0098008	4.57476e-06
DB00227	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00227	DOID:10652	2	4	0.0098008	4.57476e-06
DB00227	DOID:11934	2	4	0.0098008	4.57476e-06
DB00227	DOID:1459	2	4	0.0098008	4.57476e-06
DB00227	DOID:1781	2	4	0.0098008	4.57476e-06
DB00227	DOID:2043	2	4	0.0098008	4.57476e-06
DB00227	DOID:5041	2	4	0.0098008	4.57476e-06
DB00242	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00242	DOID:10652	2	4	0.0098008	4.57476e-06
DB00242	DOID:11934	2	4	0.0098008	4.57476e-06
DB00242	DOID:1459	2	4	0.0098008	4.57476e-06
DB00242	DOID:1781	2	4	0.0098008	4.57476e-06
DB00242	DOID:2043	2	4	0.0098008	4.57476e-06
DB00242	DOID:5041	2	4	0.0098008	4.57476e-06
DB00244	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00244	DOID:10652	2	4	0.0098008	4.57476e-06
DB00244	DOID:11934	2	4	0.0098008	4.57476e-06
DB00244	DOID:1459	2	4	0.0098008	4.57476e-06
DB00244	DOID:1781	2	4	0.0098008	4.57476e-06
DB00244	DOID:2043	2	4	0.0098008	4.57476e-06
DB00244	DOID:5041	2	4	0.0098008	4.57476e-06
DB00275	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00275	DOID:10652	2	4	0.0098008	4.57476e-06
DB00275	DOID:11934	2	4	0.0098008	4.57476e-06
DB00275	DOID:1459	2	4	0.0098008	4.57476e-06
DB00275	DOID:1781	2	4	0.0098008	4.57476e-06
DB00275	DOID:2043	2	4	0.0098008	4.57476e-06
DB00275	DOID:5041	2	4	0.0098008	4.57476e-06
DB00282	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00282	DOID:10652	2	4	0.0098008	4.57476e-06
DB00282	DOID:11934	2	4	0.0098008	4.57476e-06
DB00282	DOID:1459	2	4	0.0098008	4.57476e-06
DB00282	DOID:1781	2	4	0.0098008	4.57476e-06
DB00282	DOID:2043	2	4	0.0098008	4.57476e-06
DB00282	DOID:5041	2	4	0.0098008	4.57476e-06
DB00286	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00286	DOID:10652	2	4	0.0098008	4.57476e-06
DB00286	DOID:11934	2	4	0.0098008	4.57476e-06
DB00286	DOID:1459	2	4	0.0098008	4.57476e-06
DB00286	DOID:1781	2	4	0.0098008	4.57476e-06
DB00286	DOID:2043	2	4	0.0098008	4.57476e-06
DB00286	DOID:5041	2	4	0.0098008	4.57476e-06
DB00305	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00305	DOID:10652	2	4	0.0098008	4.57476e-06
DB00305	DOID:11934	2	4	0.0098008	4.57476e-06
DB00305	DOID:1459	2	4	0.0098008	4.57476e-06
DB00305	DOID:1781	2	4	0.0098008	4.57476e-06
DB00305	DOID:2043	2	4	0.0098008	4.57476e-06
DB00305	DOID:5041	2	4	0.0098008	4.57476e-06
DB00313	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00313	DOID:10652	2	4	0.0098008	4.57476e-06
DB00313	DOID:11934	2	4	0.0098008	4.57476e-06
DB00313	DOID:1459	2	4	0.0098008	4.57476e-06
DB00313	DOID:1781	2	4	0.0098008	4.57476e-06
DB00313	DOID:2043	2	4	0.0098008	4.57476e-06
DB00313	DOID:5041	2	4	0.0098008	4.57476e-06
DB00394	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00394	DOID:10652	2	4	0.0098008	4.57476e-06
DB00394	DOID:11934	2	4	0.0098008	4.57476e-06
DB00394	DOID:1459	2	4	0.0098008	4.57476e-06
DB00394	DOID:1781	2	4	0.0098008	4.57476e-06
DB00394	DOID:2043	2	4	0.0098008	4.57476e-06
DB00394	DOID:5041	2	4	0.0098008	4.57476e-06
DB00399	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00399	DOID:10652	2	4	0.0098008	4.57476e-06
DB00399	DOID:11934	2	4	0.0098008	4.57476e-06
DB00399	DOID:1459	2	4	0.0098008	4.57476e-06
DB00399	DOID:1781	2	4	0.0098008	4.57476e-06
DB00399	DOID:2043	2	4	0.0098008	4.57476e-06
DB00399	DOID:5041	2	4	0.0098008	4.57476e-06
DB00421	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00421	DOID:10652	2	4	0.0098008	4.57476e-06
DB00421	DOID:11934	2	4	0.0098008	4.57476e-06
DB00421	DOID:1459	2	4	0.0098008	4.57476e-06
DB00421	DOID:1781	2	4	0.0098008	4.57476e-06
DB00421	DOID:2043	2	4	0.0098008	4.57476e-06
DB00421	DOID:5041	2	4	0.0098008	4.57476e-06
DB00481	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00481	DOID:10652	2	4	0.0098008	4.57476e-06
DB00481	DOID:11934	2	4	0.0098008	4.57476e-06
DB00481	DOID:1459	2	4	0.0098008	4.57476e-06
DB00481	DOID:1781	2	4	0.0098008	4.57476e-06
DB00481	DOID:2043	2	4	0.0098008	4.57476e-06
DB00481	DOID:5041	2	4	0.0098008	4.57476e-06
DB00519	DOID:0050741	2	4	0.0098008	4.57476e-06
DB00519	DOID:10652	2	4	0.0098008	4.57476e-06
DB00519	DOID:11934	2	4	0.0098008	4.57476e-06
DB00519	DOID:1459	2	4	0.0098008	4.57476e-06
