metapath	pct_affected	mean_PC_dupl	mean_PC_nodupl	mean_pct_PC_increase	mean_pct_PC_increase_nonind	mean_pct_PC_increase_ind	auroc_dupl	auroc_nodupl	auroc_diff	indication_metaedge
CiDaGeAlD	52	4.46e+03	3.4e+03	31.3	0	36.1	0.929	0.772	0.157	True
CiDlAeGaD	52	4.21e+03	3.15e+03	33.8	0	36.8	0.949	0.795	0.155	True
CiDsDpSpD	51.8	138	106	30.3	1.42e-14	32.1	0.971	0.801	0.171	True
CiDsDlAlD	51.8	118	83.2	41.6	0	44.1	0.978	0.806	0.173	True
CiDpSpDsD	51.8	146	114	28	0	30.7	0.955	0.792	0.163	True
CiDlAlDsD	51.8	125	90.5	38.2	0	42.4	0.964	0.795	0.17	True
CiDaGiGaD	51.7	1.07e+03	717	49.6	0	53.5	0.968	0.805	0.163	True
CiDsDaGaD	51.5	246	182	35.1	0	36.9	0.976	0.815	0.161	True
CiDaGaDsD	51.5	267	203	31.5	0	34.6	0.964	0.8	0.164	True
CiDaGbCiD	50.5	92.1	55.8	64.9	0	69.4	0.965	0.825	0.14	True
CiDsDiCiD	50.5	42.4	29.3	44.4	0	45.3	0.973	0.825	0.148	True
CiDiCsCiD	50.3	70.2	36	94.8	0	97.7	0.975	0.838	0.137	True
CiDiCiDsD	49.1	42.5	32.9	29	0	30.7	0.962	0.8	0.163	True
CiDiCbGaD	46.8	82.6	49.8	65.8	0	71.9	0.949	0.816	0.133	True
CiDaGku>GaD	46.4	273	192	42.1	0	46.1	0.899	0.786	0.114	True
CiDaG<kuGaD	46.4	266	185	43.6	0	47.5	0.905	0.787	0.118	True
CiDlAuGaD	46.1	465	327	42.5	0	46.2	0.931	0.776	0.154	True
CiDlAdGaD	46.1	397	290	36.8	0	40.9	0.902	0.759	0.142	True
CiDaGdAlD	46.1	411	305	35	-1.42e-14	41.5	0.839	0.714	0.125	True
CiDaGuAlD	46.1	485	346	40.1	0	46	0.866	0.729	0.137	True
CiDaGuCiD	45.6	104	71.4	45.8	0	48.2	0.897	0.781	0.116	True
CiDsDsDsD	43.4	55	41.1	33.9	0	34.9	0.914	0.775	0.139	True
CiDaGdCiD	42.9	86.7	59.1	46.8	0	48.9	0.897	0.785	0.111	True
CiDaGkd>GaD	42	297	204	45.8	0	49.9	0.869	0.765	0.104	True
CiDaG<kdGaD	42	308	214	43.6	0	47.2	0.896	0.777	0.119	True
CiDiCuGaD	41.9	101	75.1	34.7	1.42e-14	37.2	0.879	0.768	0.111	True
CcSEcCsCiD	41	5.06e+03	4.85e+03	4.36	0	4.97	0.899	0.879	0.0198	True
CsCcSEcCiD	41	5e+03	4.79e+03	4.41	0	5.41	0.77	0.753	0.0168	True
CiDaGou>GaD	40.5	63.3	43.9	44.3	0	48.2	0.883	0.779	0.104	True
CiDaG<ouGaD	40.5	62.9	43.4	44.8	0	48.5	0.876	0.773	0.103	True
CiDiCdGaD	40.1	81.1	59.2	37	0	39.6	0.863	0.765	0.0986	True
CbGbCsCiD	39.5	194	179	7.93	0	8.76	0.916	0.882	0.0342	True
CsCbGbCiD	39.5	193	179	7.96	1.42e-14	9.42	0.808	0.775	0.0326	True
CiDaG<odGaD	36.6	39.4	27.7	42.4	0	45.8	0.865	0.759	0.105	True
CiDaGod>GaD	36.6	37.9	26.2	44.8	0	48.4	0.857	0.757	0.0998	True
CsCsCsCiD	35.8	400	332	20.6	0	21.1	0.835	0.745	0.0901	True
CbGuAeGaD	34.3	4.31e+03	4.31e+03	0.1	0.0657	0.107	0.781	0.781	7.27e-05	False
CbGeAuGaD	34.3	3.9e+03	3.9e+03	0.111	0.0745	0.117	0.792	0.791	0.000245	False
CiDaGeGaD	33.7	25.7	17	51.2	0	56.4	0.88	0.781	0.0993	True
CbGaDiCiD	33.1	61.1	57.7	6.03	0	6.92	0.86	0.845	0.0151	True
CuGkd>GdCiD	29.4	1.86e+03	1.59e+03	17	-1.42e-14	17.9	0.748	0.737	0.0104	True
CdG<kdGuCiD	29.4	1.88e+03	1.61e+03	16.8	0	18.1	0.738	0.728	0.0105	True
CbGeAdGaD	29.2	4.07e+03	4.07e+03	0.0629	0.0438	0.0662	0.783	0.783	0.000182	False
CbGdAeGaD	29.2	5.92e+03	5.92e+03	0.0432	0.0307	0.0454	0.775	0.775	1.82e-05	False
CbGkd>GdCiD	28	207	194	6.88	0	7.63	0.787	0.775	0.0116	True
CdG<kdGbCiD	28	205	192	6.95	0	7.56	0.745	0.739	0.00614	True
CsCiDiCiD	27.3	41.5	37.2	11.7	0	12.3	0.779	0.767	0.0124	True
CdG<kdGdCiD	27.3	2.03e+03	1.76e+03	15.6	0	16.8	0.74	0.729	0.011	True
CdGkd>GdCiD	27.3	2e+03	1.73e+03	15.8	-1.42e-14	16.8	0.745	0.733	0.011	True
CdGku>GuCiD	26.7	1.19e+03	1e+03	18.1	0	19.1	0.738	0.727	0.0112	True
CuG<kuGdCiD	26.7	1.2e+03	1.01e+03	17.9	0	18.9	0.748	0.737	0.0111	True
CuGku>GuCiD	25.3	1.06e+03	877	20.3	1.42e-14	21.3	0.748	0.738	0.01	True
CuG<kuGuCiD	25.3	1.07e+03	889	20	1.42e-14	21.2	0.745	0.733	0.0116	True
CdGdCsCiD	23.3	238	208	14.8	0	15.8	0.755	0.745	0.0102	True
CsCdGdCiD	23.3	241	210	14.6	0	16.1	0.723	0.711	0.012	True
CbGku>GuCiD	22.3	107	97.7	9.36	0	10.2	0.767	0.757	0.00989	True
CuG<kuGbCiD	22.3	106	96.4	9.48	-1.42e-14	10.1	0.741	0.736	0.00513	True
